country,year,scenario,indicator,value,lower_bound,upper_bound,unit,baseline_period,source
China,1980,historical,temp_anomaly,-0.56,,,degC,1981-2010,World Bank CCKP (ERA5 observed)
China,1990,historical,temp_anomaly,0.12,,,degC,1981-2010,World Bank CCKP (ERA5 observed)
China,2000,historical,temp_anomaly,-0.10,,,degC,1981-2010,World Bank CCKP (ERA5 observed)
China,2010,historical,temp_anomaly,0.32,,,degC,1981-2010,World Bank CCKP (ERA5 observed)
China,2020,historical,temp_anomaly,0.71,,,degC,1981-2010,World Bank CCKP (ERA5 observed)
China,2030,SSP1-2.6,temp_anomaly,1.34,0.96,1.69,degC,1981-2010,World Bank CCKP (CMIP6 ensemble)
China,2050,SSP1-2.6,temp_anomaly,1.89,1.30,2.42,degC,1981-2010,World Bank CCKP (CMIP6 ensemble)
China,2070,SSP1-2.6,temp_anomaly,2.13,1.37,2.69,degC,1981-2010,World Bank CCKP (CMIP6 ensemble)
China,2090,SSP1-2.6,temp_anomaly,2.01,1.16,2.82,degC,1981-2010,World Bank CCKP (CMIP6 ensemble)
China,2100,SSP1-2.6,temp_anomaly,2.01,1.16,2.82,degC,1981-2010,World Bank CCKP (CMIP6 ensemble; end-century held)
China,2030,SSP2-4.5,temp_anomaly,1.32,0.94,1.84,degC,1981-2010,World Bank CCKP (CMIP6 ensemble)
China,2050,SSP2-4.5,temp_anomaly,2.14,1.61,2.79,degC,1981-2010,World Bank CCKP (CMIP6 ensemble)
China,2070,SSP2-4.5,temp_anomaly,2.76,1.78,3.37,degC,1981-2010,World Bank CCKP (CMIP6 ensemble)
China,2090,SSP2-4.5,temp_anomaly,3.20,2.23,3.80,degC,1981-2010,World Bank CCKP (CMIP6 ensemble)
China,2100,SSP2-4.5,temp_anomaly,3.20,2.23,3.80,degC,1981-2010,World Bank CCKP (CMIP6 ensemble; end-century held)
China,2030,SSP5-8.5,temp_anomaly,1.51,1.07,1.91,degC,1981-2010,World Bank CCKP (CMIP6 ensemble)
China,2050,SSP5-8.5,temp_anomaly,2.68,1.95,3.51,degC,1981-2010,World Bank CCKP (CMIP6 ensemble)
China,2070,SSP5-8.5,temp_anomaly,4.03,3.05,5.35,degC,1981-2010,World Bank CCKP (CMIP6 ensemble)
China,2090,SSP5-8.5,temp_anomaly,5.64,4.03,7.64,degC,1981-2010,World Bank CCKP (CMIP6 ensemble)
China,2100,SSP5-8.5,temp_anomaly,5.64,4.03,7.64,degC,1981-2010,World Bank CCKP (CMIP6 ensemble; end-century held)
United States,1980,historical,temp_anomaly,-0.24,,,degC,1981-2010,World Bank CCKP (ERA5 observed)
United States,1990,historical,temp_anomaly,0.22,,,degC,1981-2010,World Bank CCKP (ERA5 observed)
United States,2000,historical,temp_anomaly,0.15,,,degC,1981-2010,World Bank CCKP (ERA5 observed)
United States,2010,historical,temp_anomaly,0.25,,,degC,1981-2010,World Bank CCKP (ERA5 observed)
United States,2020,historical,temp_anomaly,1.01,,,degC,1981-2010,World Bank CCKP (ERA5 observed)
United States,2030,SSP1-2.6,temp_anomaly,1.30,0.92,1.79,degC,1981-2010,World Bank CCKP (CMIP6 ensemble)
United States,2050,SSP1-2.6,temp_anomaly,1.79,1.21,2.55,degC,1981-2010,World Bank CCKP (CMIP6 ensemble)
United States,2070,SSP1-2.6,temp_anomaly,1.99,1.34,2.98,degC,1981-2010,World Bank CCKP (CMIP6 ensemble)
United States,2090,SSP1-2.6,temp_anomaly,1.90,1.17,3.04,degC,1981-2010,World Bank CCKP (CMIP6 ensemble)
United States,2100,SSP1-2.6,temp_anomaly,1.90,1.17,3.04,degC,1981-2010,World Bank CCKP (CMIP6 ensemble; end-century held)
United States,2030,SSP2-4.5,temp_anomaly,1.35,0.87,1.84,degC,1981-2010,World Bank CCKP (CMIP6 ensemble)
United States,2050,SSP2-4.5,temp_anomaly,2.13,1.56,2.94,degC,1981-2010,World Bank CCKP (CMIP6 ensemble)
United States,2070,SSP2-4.5,temp_anomaly,2.70,1.96,3.83,degC,1981-2010,World Bank CCKP (CMIP6 ensemble)
United States,2090,SSP2-4.5,temp_anomaly,3.20,2.23,4.01,degC,1981-2010,World Bank CCKP (CMIP6 ensemble)
United States,2100,SSP2-4.5,temp_anomaly,3.20,2.23,4.01,degC,1981-2010,World Bank CCKP (CMIP6 ensemble; end-century held)
United States,2030,SSP5-8.5,temp_anomaly,1.40,1.05,2.13,degC,1981-2010,World Bank CCKP (CMIP6 ensemble)
United States,2050,SSP5-8.5,temp_anomaly,2.64,2.08,3.62,degC,1981-2010,World Bank CCKP (CMIP6 ensemble)
United States,2070,SSP5-8.5,temp_anomaly,4.02,3.27,5.50,degC,1981-2010,World Bank CCKP (CMIP6 ensemble)
United States,2090,SSP5-8.5,temp_anomaly,5.53,4.49,7.53,degC,1981-2010,World Bank CCKP (CMIP6 ensemble)
United States,2100,SSP5-8.5,temp_anomaly,5.53,4.49,7.53,degC,1981-2010,World Bank CCKP (CMIP6 ensemble; end-century held)
China,1980,historical,precip_change,0.05,,,percent,1981-2010,World Bank CCKP (ERA5 observed)
China,1990,historical,precip_change,7.60,,,percent,1981-2010,World Bank CCKP (ERA5 observed)
China,2000,historical,precip_change,1.46,,,percent,1981-2010,World Bank CCKP (ERA5 observed)
China,2010,historical,precip_change,-0.26,,,percent,1981-2010,World Bank CCKP (ERA5 observed)
China,2020,historical,precip_change,-0.91,,,percent,1981-2010,World Bank CCKP (ERA5 observed)
China,2030,SSP1-2.6,precip_change,7.70,2.78,10.19,percent,1981-2010,World Bank CCKP (CMIP6 ensemble)
China,2050,SSP1-2.6,precip_change,9.41,6.34,15.70,percent,1981-2010,World Bank CCKP (CMIP6 ensemble)
China,2070,SSP1-2.6,precip_change,12.35,7.04,17.80,percent,1981-2010,World Bank CCKP (CMIP6 ensemble)
China,2090,SSP1-2.6,precip_change,12.06,7.19,17.47,percent,1981-2010,World Bank CCKP (CMIP6 ensemble)
China,2100,SSP1-2.6,precip_change,12.06,7.19,17.47,percent,1981-2010,World Bank CCKP (CMIP6 ensemble; end-century held)
China,2030,SSP2-4.5,precip_change,6.18,2.66,9.75,percent,1981-2010,World Bank CCKP (CMIP6 ensemble)
China,2050,SSP2-4.5,precip_change,11.09,5.90,14.61,percent,1981-2010,World Bank CCKP (CMIP6 ensemble)
China,2070,SSP2-4.5,precip_change,14.51,6.16,18.57,percent,1981-2010,World Bank CCKP (CMIP6 ensemble)
China,2090,SSP2-4.5,precip_change,16.00,8.63,23.03,percent,1981-2010,World Bank CCKP (CMIP6 ensemble)
China,2100,SSP2-4.5,precip_change,16.00,8.63,23.03,percent,1981-2010,World Bank CCKP (CMIP6 ensemble; end-century held)
China,2030,SSP5-8.5,precip_change,7.12,1.77,10.92,percent,1981-2010,World Bank CCKP (CMIP6 ensemble)
China,2050,SSP5-8.5,precip_change,12.48,7.55,20.08,percent,1981-2010,World Bank CCKP (CMIP6 ensemble)
China,2070,SSP5-8.5,precip_change,18.88,13.11,26.38,percent,1981-2010,World Bank CCKP (CMIP6 ensemble)
China,2090,SSP5-8.5,precip_change,27.34,18.82,40.60,percent,1981-2010,World Bank CCKP (CMIP6 ensemble)
China,2100,SSP5-8.5,precip_change,27.34,18.82,40.60,percent,1981-2010,World Bank CCKP (CMIP6 ensemble; end-century held)
United States,1980,historical,precip_change,-2.93,,,percent,1981-2010,World Bank CCKP (ERA5 observed)
United States,1990,historical,precip_change,4.07,,,percent,1981-2010,World Bank CCKP (ERA5 observed)
United States,2000,historical,precip_change,-7.99,,,percent,1981-2010,World Bank CCKP (ERA5 observed)
United States,2010,historical,precip_change,-3.98,,,percent,1981-2010,World Bank CCKP (ERA5 observed)
United States,2020,historical,precip_change,-2.68,,,percent,1981-2010,World Bank CCKP (ERA5 observed)
United States,2030,SSP1-2.6,precip_change,3.89,1.22,7.89,percent,1981-2010,World Bank CCKP (CMIP6 ensemble)
United States,2050,SSP1-2.6,precip_change,6.40,3.25,10.65,percent,1981-2010,World Bank CCKP (CMIP6 ensemble)
United States,2070,SSP1-2.6,precip_change,7.80,2.44,11.17,percent,1981-2010,World Bank CCKP (CMIP6 ensemble)
United States,2090,SSP1-2.6,precip_change,8.22,2.77,12.83,percent,1981-2010,World Bank CCKP (CMIP6 ensemble)
United States,2100,SSP1-2.6,precip_change,8.22,2.77,12.83,percent,1981-2010,World Bank CCKP (CMIP6 ensemble; end-century held)
United States,2030,SSP2-4.5,precip_change,3.80,0.94,7.04,percent,1981-2010,World Bank CCKP (CMIP6 ensemble)
United States,2050,SSP2-4.5,precip_change,6.51,2.61,8.89,percent,1981-2010,World Bank CCKP (CMIP6 ensemble)
United States,2070,SSP2-4.5,precip_change,8.02,3.43,10.75,percent,1981-2010,World Bank CCKP (CMIP6 ensemble)
United States,2090,SSP2-4.5,precip_change,9.79,4.08,13.94,percent,1981-2010,World Bank CCKP (CMIP6 ensemble)
United States,2100,SSP2-4.5,precip_change,9.79,4.08,13.94,percent,1981-2010,World Bank CCKP (CMIP6 ensemble; end-century held)
United States,2030,SSP5-8.5,precip_change,4.42,1.70,7.45,percent,1981-2010,World Bank CCKP (CMIP6 ensemble)
United States,2050,SSP5-8.5,precip_change,6.90,3.41,11.90,percent,1981-2010,World Bank CCKP (CMIP6 ensemble)
United States,2070,SSP5-8.5,precip_change,11.64,5.65,17.20,percent,1981-2010,World Bank CCKP (CMIP6 ensemble)
United States,2090,SSP5-8.5,precip_change,12.58,6.89,22.78,percent,1981-2010,World Bank CCKP (CMIP6 ensemble)
United States,2100,SSP5-8.5,precip_change,12.58,6.89,22.78,percent,1981-2010,World Bank CCKP (CMIP6 ensemble; end-century held)
China,2020,SSP1-2.6,hot_days,6.34,3.50,10.90,days,1981-2010,World Bank CCKP (CMIP6 ensemble)
China,2040,SSP1-2.6,hot_days,8.22,4.36,15.08,days,1981-2010,World Bank CCKP (CMIP6 ensemble)
China,2060,SSP1-2.6,hot_days,11.21,6.19,17.80,days,1981-2010,World Bank CCKP (CMIP6 ensemble)
China,2080,SSP1-2.6,hot_days,10.62,5.12,20.28,days,1981-2010,World Bank CCKP (CMIP6 ensemble)
China,2100,SSP1-2.6,hot_days,10.02,5.22,18.55,days,1981-2010,World Bank CCKP (CMIP6 ensemble)
China,2020,SSP2-4.5,hot_days,6.18,3.50,10.38,days,1981-2010,World Bank CCKP (CMIP6 ensemble)
China,2040,SSP2-4.5,hot_days,9.35,5.27,16.58,days,1981-2010,World Bank CCKP (CMIP6 ensemble)
China,2060,SSP2-4.5,hot_days,12.89,7.28,21.55,days,1981-2010,World Bank CCKP (CMIP6 ensemble)
China,2080,SSP2-4.5,hot_days,14.52,8.14,25.34,days,1981-2010,World Bank CCKP (CMIP6 ensemble)
China,2100,SSP2-4.5,hot_days,16.47,8.30,27.61,days,1981-2010,World Bank CCKP (CMIP6 ensemble)
China,2020,SSP5-8.5,hot_days,6.91,3.12,11.73,days,1981-2010,World Bank CCKP (CMIP6 ensemble)
China,2040,SSP5-8.5,hot_days,10.79,4.66,18.76,days,1981-2010,World Bank CCKP (CMIP6 ensemble)
China,2060,SSP5-8.5,hot_days,17.80,9.63,31.23,days,1981-2010,World Bank CCKP (CMIP6 ensemble)
China,2080,SSP5-8.5,hot_days,28.11,15.22,47.09,days,1981-2010,World Bank CCKP (CMIP6 ensemble)
China,2100,SSP5-8.5,hot_days,38.53,19.28,65.90,days,1981-2010,World Bank CCKP (CMIP6 ensemble)
United States,2020,SSP1-2.6,hot_days,15.69,7.21,28.23,days,1981-2010,World Bank CCKP (CMIP6 ensemble)
United States,2040,SSP1-2.6,hot_days,20.23,9.58,33.02,days,1981-2010,World Bank CCKP (CMIP6 ensemble)
United States,2060,SSP1-2.6,hot_days,23.47,9.77,37.01,days,1981-2010,World Bank CCKP (CMIP6 ensemble)
United States,2080,SSP1-2.6,hot_days,21.85,11.83,35.93,days,1981-2010,World Bank CCKP (CMIP6 ensemble)
United States,2100,SSP1-2.6,hot_days,20.36,9.13,35.79,days,1981-2010,World Bank CCKP (CMIP6 ensemble)
United States,2020,SSP2-4.5,hot_days,15.91,7.92,26.30,days,1981-2010,World Bank CCKP (CMIP6 ensemble)
United States,2040,SSP2-4.5,hot_days,21.67,12.19,32.97,days,1981-2010,World Bank CCKP (CMIP6 ensemble)
United States,2060,SSP2-4.5,hot_days,25.09,12.30,41.79,days,1981-2010,World Bank CCKP (CMIP6 ensemble)
United States,2080,SSP2-4.5,hot_days,32.15,16.76,50.63,days,1981-2010,World Bank CCKP (CMIP6 ensemble)
United States,2100,SSP2-4.5,hot_days,32.29,16.36,53.11,days,1981-2010,World Bank CCKP (CMIP6 ensemble)
United States,2020,SSP5-8.5,hot_days,16.39,7.37,28.83,days,1981-2010,World Bank CCKP (CMIP6 ensemble)
United States,2040,SSP5-8.5,hot_days,24.16,11.85,38.27,days,1981-2010,World Bank CCKP (CMIP6 ensemble)
United States,2060,SSP5-8.5,hot_days,34.10,18.18,53.79,days,1981-2010,World Bank CCKP (CMIP6 ensemble)
United States,2080,SSP5-8.5,hot_days,51.67,28.55,74.05,days,1981-2010,World Bank CCKP (CMIP6 ensemble)
United States,2100,SSP5-8.5,hot_days,68.26,41.38,97.40,days,1981-2010,World Bank CCKP (CMIP6 ensemble)
China,1980,historical,hot_days,3.09,1.43,5.74,days,1981-2010,World Bank CCKP (CMIP6 historical run)
China,1990,historical,hot_days,3.63,1.96,6.19,days,1981-2010,World Bank CCKP (CMIP6 historical run)
China,2000,historical,hot_days,4.48,2.38,7.30,days,1981-2010,World Bank CCKP (CMIP6 historical run)
China,2010,historical,hot_days,4.96,2.69,8.16,days,1981-2010,World Bank CCKP (CMIP6 historical run)
United States,1980,historical,hot_days,7.74,3.20,14.53,days,1981-2010,World Bank CCKP (CMIP6 historical run)
United States,1990,historical,hot_days,9.08,4.43,14.88,days,1981-2010,World Bank CCKP (CMIP6 historical run)
United States,2000,historical,hot_days,10.18,4.33,16.97,days,1981-2010,World Bank CCKP (CMIP6 historical run)
United States,2010,historical,hot_days,12.35,5.60,19.91,days,1981-2010,World Bank CCKP (CMIP6 historical run)
